ISO3,Date,Cumulative_cases,Cumulative_deaths
ARM,2021-05,222636,4432
ARM,2021-06,224797,4508
ARM,2021-07,228798,4587
ARM,2021-08,241336,4823
ARM,2021-09,258545,5251
ARM,2021-10,308326,6328
ARM,2021-11,337931,7514
ARM,2021-12,344481,7943
ARM,2022-01,366433,8046
ARM,2022-02,419693,8449
ARM,2022-03,422458,8610
ARM,2022-04,422825,8622
ARM,2022-05,422960,8625
ARM,2022-06,423104,8625
ARM,2022-07,425365,8633
ARM,2022-08,432274,8648
ARM,2022-09,440955,8673
ARM,2022-10,444611,8700
ARM,2022-11,445262,8703
ARM,2022-12,445583,8708
ARM,2023-01,445848,8713
ARM,2023-02,446463,8718
ARM,2023-03,448151,8739
ARM,2023-04,449062,8747
ARM,2023-05,449203,8750
ARM,2023-06,449233,8751
ARM,2023-07,449282,8751
ARM,2023-08,449357,8751
ARM,2023-09,449650,8751
ARM,2023-10,450732,8767
ARM,2023-11,451204,8770
ARM,2023-12,451426,8775
ARM,2024-01,451692,8776
ARM,2024-02,451831,8777
ARM,2024-03,451944,8777
ARM,2024-04,451944,8777
ARM,2024-05,451944,8777
ARM,2024-06,451944,8777
ASM,2020-01,0,0
ASM,2020-02,0,0
ASM,2020-03,0,0
ASM,2020-04,0,0
ASM,2020-05,0,0
ASM,2020-06,0,0
ASM,2020-07,0,0
ASM,2020-08,0,0
ASM,2020-09,0,0
ASM,2020-10,0,0
ASM,2020-11,0,0
ASM,2020-12,0,0
ASM,2021-01,0,0
ASM,2021-02,0,0
ASM,2021-03,0,0
ASM,2021-04,0,0
ASM,2021-05,0,0
ASM,2021-06,0,0
ASM,2021-07,0,0
ASM,2021-08,0,0
ASM,2021-09,1,0
ASM,2021-10,4,0
ASM,2021-11,5,0
ASM,2021-12,11,0
ASM,2022-01,18,0
ASM,2022-02,84,0
ASM,2022-03,3278,2
ASM,2022-04,5765,23
ASM,2022-05,6145,31
ASM,2022-06,6505,31
ASM,2022-07,7766,33
ASM,2022-08,8168,34
ASM,2022-09,8247,34
ASM,2022-10,8257,34
ASM,2022-11,8264,34
ASM,2022-12,8266,34
ASM,2023-01,8320,34
ASM,2023-02,8320,34
ASM,2023-03,8324,34
ASM,2023-04,8329,34
ASM,2023-05,8331,34
ASM,2023-06,8332,34
ASM,2023-07,8341,34
ASM,2023-08,8341,34
ASM,2023-09,8359,34
ASM,2023-10,8359,34
ASM,2023-11,8359,34
ASM,2023-12,8359,34
ASM,2024-01,8359,34
ASM,2024-02,8359,34
ASM,2024-03,8359,34
ASM,2024-04,8359,34
ASM,2024-05,8359,34
ASM,2024-06,8359,34
ATG,2020-01,0,0
ATG,2020-02,0,0
ATG,2020-03,7,0
ATG,2020-04,24,3
ATG,2020-05,25,3
ATG,2020-06,65,3
ATG,2020-07,82,3
ATG,2020-08,94,3
ATG,2020-09,98,3
ATG,2020-10,122,3
ATG,2020-11,141,4
ATG,2020-12,155,5
ATG,2021-01,218,7
ATG,2021-02,726,14
ATG,2021-03,1122,28
ATG,2021-04,1227,31
ATG,2021-05,1259,42
ATG,2021-06,1263,42
ATG,2021-07,1280,43
ATG,2021-08,1638,43
ATG,2021-09,2902,64
ATG,2021-10,4040,102
ATG,2021-11,4141,117
ATG,2021-12,4229,118
ATG,2022-01,6558,127
ATG,2022-02,7437,135
ATG,2022-03,7482,135
ATG,2022-04,7571,135
ATG,2022-05,8119,138
ATG,2022-06,8625,141
ATG,2022-07,8773,144
ATG,2022-08,8949,145
ATG,2022-09,9089,146
ATG,2022-10,9106,146
ATG,2022-11,9106,146
ATG,2022-12,9106,146
ATG,2023-01,9106,146
ATG,2023-02,9106,146
ATG,2023-03,9106,146
ATG,2023-04,9106,146
ATG,2023-05,9106,146
ATG,2023-06,9106,146
ATG,2023-07,9106,146
ATG,2023-08,9106,146
